state,timestamp,latitude,longitude,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,pressure,uv_index,visibility,wind_bearing,wind_speed
Alabama,2007-05-19T12:00:00Z,32.43,-85.705,80.11,64.77,49.43,42.55,0.45,0.0,0.11,0.0,0.0,,11.0,10.0,70.0,2.48
Alabama,2007-04-22T12:00:00Z,33.35,-85.625,78.94,62.005,45.07,43.02,0.57,0.05,0.19,0.0,0.0,1023.09,10.0,,131.0,2.41
Alabama,1992-08-15T12:00:00Z,34.276070000000004,-86.17524,75.42,65.885,56.35,61.13,0.82,0.04,0.57,,,,10.0,8.66,329.0,3.41
Alabama,2007-07-18T12:00:00Z,33.59,-86.5,86.5,78.9,71.3,70.64,0.8,0.38,0.14,0.0,0.0,1019.03,8.0,9.79,268.0,0.24
Alabama,2001-04-13T12:00:00Z,32.184,-86.581,83.33,71.44,59.55,69.63,0.84,0.53,0.69,0.0005,1.0,1018.15,6.0,8.65,248.0,5.78
Alabama,1999-11-23T12:00:00Z,33.36305,-86.17121999999999,74.01,63.565,53.12,56.6,0.83,0.46,0.52,,,1021.07,3.0,6.56,68.0,4.5
Alabama,2009-02-24T12:00:00Z,34.71139,-86.6575,52.54,47.815,43.09,22.84,0.51,0.39,0.99,0.001,0.75,1028.18,5.0,10.0,124.0,1.5
Alabama,1979-09-14T12:00:00Z,30.7113,-87.91833000000001,85.61,75.61,65.61,66.53,0.72,0.42,0.79,0.0,0.0,1012.42,5.0,7.1,17.0,8.78
Alabama,2000-05-13T12:00:00Z,32.76967,-86.4891,91.94,,,63.84,0.51,0.77,0.35,,,1014.06,8.0,6.93,276.0,6.83
Alabama,1980-01-12T12:00:00Z,31.868009999999998,-85.35995,,,,,,,,,,,,,,
Alabama,2010-03-12T12:00:00Z,33.8957,-87.53395,63.26,53.6,43.94,46.62,0.73,0.68,0.9,0.0091,0.79,1003.93,7.0,8.85,289.0,1.47
Alabama,1990-05-15T12:00:00Z,33.8957,-87.53395,,,,,,,,,,,,,,
Alabama,2005-01-12T12:00:00Z,34.70112,-87.77686,68.22,64.325,60.43,58.97,0.81,0.8,0.09,0.0002,0.58,1014.15,2.0,9.08,174.0,8.43
Alabama,1983-10-14T12:00:00Z,31.135859999999997,-87.06486,65.1,61.145,57.19,44.42,0.63,0.84,0.28,,,1020.65,4.0,7.0,33.0,6.41
Alabama,1978-10-10T12:00:00Z,31.34781,-86.54527,,,,,,,,,,,,,,
Alabama,2012-05-21T12:00:00Z,33.41574,-88.12475,81.25,70.72,60.19,64.35,0.82,0.4,0.02,0.0013,0.94,1016.97,9.0,9.74,326.0,0.69
Alabama,2008-02-15T12:00:00Z,31.25385,-88.26290999999999,68.43,58.025,47.62,47.13,0.77,,0.31,0.0,0.0,,0.0,,89.0,0.79
Alabama,2012-11-01T12:00:00Z,33.82162,-85.48985,63.35,51.26,39.17,26.2,0.51,0.0,0.59,0.0,0.0,1016.38,5.0,9.8,298.0,2.39
Alabama,2012-08-15T12:00:00Z,34.322790000000005,-86.5045,83.54,75.03,66.52,68.64,0.85,0.29,0.93,0.0,0.0,1014.87,9.0,7.71,269.0,0.41
Alabama,2013-03-16T12:00:00Z,34.470909999999996,-86.56954,73.86,63.265,52.67,45.57,0.54,0.01,0.16,0.0,0.0,1013.15,7.0,10.0,235.0,5.22
Alabama,2013-01-23T12:00:00Z,34.29511,-86.88620999999999,54.67,46.995,39.32,29.27,0.58,0.73,0.39,0.0,0.0,1025.98,4.0,10.0,228.0,2.2
Alabama,2013-10-15T12:00:00Z,32.48322,-86.37698,75.3,67.1,58.9,61.3,0.86,0.39,0.39,0.0,0.0,1018.35,4.0,9.35,99.0,0.52
Alabama,2013-10-02T12:00:00Z,33.55153,-86.98473,82.92,73.745,64.57,64.53,0.8,0.14,0.92,0.0,0.0,1019.43,7.0,9.68,120.0,0.21
Alabama,2014-03-30T12:00:00Z,32.91874,-85.9793,71.2,53.29,35.38,36.38,0.55,0.07,0.99,0.0,0.0,,9.0,10.0,329.0,4.36
Alabama,2014-12-27T12:00:00Z,33.37095,-87.6942,56.09,54.065,52.04,47.68,0.9,0.94,0.21,0.06,1.0,1022.64,2.0,7.98,130.0,0.77
Alabama,2014-12-31T12:00:00Z,31.651,-85.19265,49.07,41.845,34.62,43.73,0.92,0.85,0.36,0.0,0.0,1028.85,2.0,9.67,36.0,2.17
Alabama,2014-06-09T12:00:00Z,34.00806,-86.96415999999999,82.9,74.54,66.18,68.33,0.86,0.38,0.38,0.023,0.96,,11.0,8.08,200.0,1.21
Alabama,2014-06-17T12:00:00Z,34.14117,-85.22780999999999,90.11,80.33,70.55,69.84,0.78,0.08,0.67,0.0,0.0,1019.92,9.0,7.75,280.0,0.06
Alabama,2014-09-17T12:00:00Z,31.23374,-85.21574,89.7,78.525,67.35,71.2,0.82,0.19,0.8,0.0,0.0,1013.3,7.0,9.34,353.0,0.48
Alabama,2013-01-28T12:00:00Z,31.53475,-85.7944,74.03,66.835,59.64,55.4,0.79,0.5,0.55,0.0,0.0,1025.14,4.0,9.6,140.0,1.71
Alabama,2014-01-14T12:00:00Z,33.89833,-86.84557,58.16,48.01,37.86,39.26,0.73,0.38,0.46,0.0022,0.96,1015.56,3.0,9.54,294.0,2.21
Alabama,2020-04-16T12:00:00Z,31.24305,-88.31126,75.58,61.13,46.68,36.82,0.48,0.07,0.82,0.0008,0.01,1022.4,10.0,10.0,53.0,5.2
Alabama,2020-06-15T12:00:00Z,33.643409999999996,-85.41960999999999,80.82,69.03,57.24,60.27,0.74,0.22,0.83,0.0015,0.09,1021.0,9.0,10.0,23.0,3.74
Arkansas,2001-08-11T12:00:00Z,34.55056,-92.34083000000001,89.34,82.065,74.79,73.36,0.85,0.82,0.73,0.0275,1.0,1016.08,7.0,6.74,216.0,4.52
Arkansas,1972-11-05T12:00:00Z,36.19444,-92.38221999999999,,,,,,,,,,,,,,
Arkansas,1995-05-15T12:00:00Z,36.33528,-92.385,82.16,74.15,66.14,58.85,0.62,0.44,0.53,,,,11.0,10.0,90.0,2.32
Arkansas,1996-10-15T12:00:00Z,34.08,-93.0,83.73,,,55.38,0.61,0.43,0.1,,,1017.83,5.0,8.76,117.0,4.3
Arkansas,1998-10-29T12:00:00Z,34.25,-93.1,79.39,,,66.93,0.81,0.89,0.3,,,1014.59,3.0,9.82,188.0,3.95
Arkansas,1969-08-16T12:00:00Z,33.769859999999994,-94.3643,,,,,,,,,,,,,,
Arkansas,2001-08-11T12:00:00Z,34.787,-91.735,90.74,82.915,75.09,74.42,0.84,0.81,0.73,0.0269,1.0,1015.81,7.0,6.73,216.0,4.24
Arkansas,1988-01-10T12:00:00Z,36.12083,-90.51056,26.98,15.015,3.05,7.78,0.73,0.16,0.7,,,1032.93,3.0,9.08,55.0,3.06
Arkansas,2001-07-29T12:00:00Z,33.82111,-92.03389,92.95,85.295,77.64,75.23,0.78,0.15,0.33,,,1016.53,10.0,10.0,221.0,7.09
Arkansas,1970-06-15T12:00:00Z,35.9975,-93.83426,,,,,,,,,,,,,,
Arkansas,1998-11-15T12:00:00Z,35.420970000000004,-93.15208,,,,,,,,,,,,,,
Arkansas,1984-04-17T12:00:00Z,33.88861,-93.20389,,,,,,,,,,,,,,
Arkansas,2000-01-15T12:00:00Z,33.266659999999995,-93.88600000000001,64.33,60.285,56.24,37.48,0.61,0.07,0.3,0.0,0.0,1030.52,3.0,10.0,186.0,8.09
Arkansas,1977-09-25T12:00:00Z,36.19791,-91.1125,,,,,,,,,,,,,,
Arkansas,1994-10-15T12:00:00Z,34.564440000000005,-92.58667,67.65,65.0,62.35,59.75,0.9,0.98,0.38,,,1016.11,4.0,5.57,121.0,6.95
Arkansas,1997-03-14T12:00:00Z,36.371109999999994,-91.87,,,,,,,,,,,,,,
Arkansas,2002-10-10T12:00:00Z,36.206109999999995,-94.23416999999999,66.2,63.63,61.06,55.66,0.86,1.0,0.16,,,1016.99,4.0,8.74,68.0,3.92
Arkansas,1998-07-07T12:00:00Z,34.70694,-94.45416999999999,,,,,,,,,,,,,,
Arkansas,2004-04-04T12:00:00Z,36.18333,-94.44694,64.89,51.52,38.15,29.4,0.43,0.01,0.47,0.0,0.0,1020.89,8.0,10.0,36.0,4.02
Arkansas,1999-11-15T12:00:00Z,35.64861,-91.45889,65.26,51.755,38.25,25.22,0.34,0.0,0.23,,,,3.0,10.0,334.0,2.69
Arkansas,2003-10-31T12:00:00Z,36.34167,-93.94583,77.63,65.425,53.22,57.48,0.72,0.71,0.23,,,1017.36,3.0,8.69,218.0,2.98
Arkansas,1961-10-15T12:00:00Z,34.88111,-91.08055999999999,,,,,,,,,,,,,,
Arkansas,2003-08-12T12:00:00Z,35.27833,-93.13361,84.42,78.12,71.82,66.34,0.8,0.24,0.53,,,1016.42,9.0,6.83,41.0,1.48
Arkansas,2004-02-19T12:00:00Z,33.18639,-93.9475,71.91,65.2,58.49,44.08,0.66,0.15,0.98,0.0,0.0,1013.87,5.0,9.35,183.0,10.09
Arkansas,2004-04-03T12:00:00Z,34.53167,-92.40778,72.78,60.415,48.05,39.45,0.54,0.22,0.44,0.0,0.0,1018.19,8.0,8.15,307.0,5.79
Arkansas,2004-04-23T12:00:00Z,35.093059999999994,-94.35600000000001,76.76,69.965,63.17,66.4,0.87,0.71,0.13,0.0013,1.0,1012.62,6.0,8.51,89.0,4.27
Arkansas,2001-05-15T12:00:00Z,33.7985,-91.27056,89.93,78.025,66.12,60.01,0.57,0.04,0.76,,,1016.07,10.0,8.61,204.0,6.9
Arkansas,1994-07-16T12:00:00Z,36.41,-93.74,85.21,77.39,69.57,68.32,0.78,0.2,0.28,,,,9.0,9.66,247.0,2.43
Arkansas,1986-07-15T12:00:00Z,35.44944,-91.51306,,,,,,,,,,,,,,
Arkansas,2002-11-05T12:00:00Z,33.14663,-92.61493,53.78,47.485,41.19,48.13,0.92,0.95,0.03,0.0316,1.0,1009.82,3.0,7.4,303.0,3.7
Arkansas,1975-09-15T12:00:00Z,34.87,-92.12,63.25,61.635,60.02,56.39,0.86,0.97,0.35,0.0246,1.0,1021.99,4.0,6.19,17.0,3.96
Arkansas,1981-07-15T12:00:00Z,36.31519,-93.75723,,,,,,,,,,,,,,
Arkansas,2005-05-07T12:00:00Z,33.26462,-92.64066,82.77,70.16,57.55,51.48,0.64,0.0,0.98,0.0,0.0,1017.41,11.0,9.75,153.0,3.81
Arkansas,2005-12-04T12:00:00Z,34.285,-93.162,43.48,36.265,29.05,29.25,0.59,0.64,0.11,0.0,0.0,1018.09,2.0,9.77,27.0,3.83
Arkansas,1986-06-01T12:00:00Z,35.34572,-93.75313,,,,,,,,,,,,,,
Arkansas,1980-06-15T12:00:00Z,35.0194,-90.32,95.2,87.715,80.23,64.16,0.51,0.03,0.1,0.0,0.0,1013.83,10.0,10.0,219.0,12.32
Arkansas,2004-10-15T12:00:00Z,34.369,-94.3745,73.57,62.195,50.82,43.19,0.76,0.12,0.05,0.0,0.0,1007.81,6.0,9.14,293.0,1.85
Arkansas,1992-06-14T12:00:00Z,34.44652,-93.07654000000001,93.4,78.895,64.39,67.67,0.74,0.67,0.49,,,1010.31,9.0,6.97,124.0,4.08
Arkansas,1996-11-15T12:00:00Z,33.14759,-93.89135,70.38,65.875,61.37,49.84,0.79,0.52,0.16,,,1022.95,4.0,5.64,112.0,7.32
Arkansas,2010-03-23T12:00:00Z,35.36335,-94.229,73.62,61.03,48.44,36.3,0.59,0.0,0.26,0.0,0.0,1013.32,8.0,9.75,123.0,2.12
Arkansas,2004-01-14T12:00:00Z,36.29871,-92.63179000000001,64.7,46.85,29.0,35.83,0.65,0.34,0.74,0.0,0.0,1019.05,3.0,9.25,282.0,5.48
Arkansas,2010-11-18T12:00:00Z,34.73147,-92.75093000000001,51.18,45.225,39.27,44.47,0.88,0.9,0.4,0.0001,0.33,1025.52,2.0,7.5,325.0,1.29
Arkansas,2012-07-29T12:00:00Z,33.26855,-91.22115,97.45,86.585,75.72,70.47,0.69,0.0,0.38,0.0,0.0,1016.03,11.0,9.83,37.0,1.03
Arkansas,2012-09-13T12:00:00Z,33.33171,-93.98621999999999,83.21,76.12,69.03,67.33,0.77,0.41,0.91,0.0033,1.0,1019.08,4.0,9.91,121.0,1.85
Arkansas,2012-12-04T12:00:00Z,36.14065,-92.52505,57.99,44.845,31.7,50.42,0.87,0.52,0.69,0.0207,1.0,1020.12,2.0,9.3,330.0,0.88
Arkansas,2008-01-15T12:00:00Z,36.33205,-91.52025,46.0,35.515,25.03,21.65,0.66,,0.25,0.0,0.0,,0.0,,79.0,0.64
Arkansas,2012-12-07T12:00:00Z,34.86535,-92.3575,62.63,59.89,57.15,55.74,0.89,0.96,0.79,0.0,0.0,1012.28,2.0,8.35,189.0,0.93
Arkansas,2009-02-15T12:00:00Z,36.38605,-92.30614,40.07,32.96,25.85,25.61,0.72,0.69,0.71,0.0003,0.8,,3.0,7.35,10.0,3.02
Arkansas,2011-11-24T12:00:00Z,35.703,-91.46231,55.24,50.18,45.12,43.91,0.78,0.86,0.98,0.0,0.0,1027.51,2.0,9.69,175.0,3.61
Arkansas,2015-12-28T12:00:00Z,35.34737,-91.60007,50.92,43.935,36.95,39.7,0.81,0.95,0.61,0.0557,1.0,1004.71,2.0,9.49,248.0,4.79
Arkansas,2003-12-15T12:00:00Z,36.37399,-92.27071,57.48,47.14,36.8,39.11,0.7,0.41,0.72,,,1008.03,2.0,9.87,168.0,10.58
Arkansas,2015-11-26T12:00:00Z,35.255,-91.50301,70.41,65.455,60.5,55.92,0.76,0.92,0.54,0.0,0.0,1027.08,2.0,10.0,150.0,2.72
Arkansas,2016-12-02T12:00:00Z,34.4125,-94.1125,61.06,51.555,42.05,32.65,0.7,0.07,0.1,0.0,0.0,1021.93,3.0,10.0,101.0,0.58
Arkansas,2017-02-10T12:00:00Z,34.85324,-92.25454,68.99,65.42,61.85,39.95,0.7,0.21,0.49,0.0,0.0,1021.48,4.0,10.0,199.0,3.48
Arkansas,1973-04-15T12:00:00Z,34.208729999999996,-92.57542,,,,,,,,,,,,,,
Arkansas,1976-09-15T12:00:00Z,34.923359999999995,-92.30519,86.42,73.76,61.1,61.89,0.72,0.25,0.72,0.0,0.0,1019.31,7.0,6.54,127.0,1.0
Arkansas,2006-06-17T12:00:00Z,35.738,-90.1355,85.39,77.655,69.92,68.78,0.79,0.37,0.72,0.0151,1.0,1015.94,8.0,8.58,180.0,2.98
Arkansas,1976-08-14T12:00:00Z,35.186,-93.206,,,,,,,,,,,,,,
Arkansas,2018-07-22T12:00:00Z,36.042,-93.1545,88.61,77.55,66.49,62.89,0.61,0.0,0.36,0.0,0.0,1012.8,11.0,9.997,319.0,4.51
Arkansas,1997-05-10T12:00:00Z,36.3025,-93.448,73.18,58.94,44.7,32.67,0.41,0.03,0.15,,,1024.8,11.0,10.0,205.0,4.28
Arkansas,1978-05-15T12:00:00Z,33.66554,-93.56799000000001,86.58,73.13,59.68,60.87,0.63,0.14,0.27,,,,11.0,10.0,55.0,7.35
Arkansas,1979-06-14T12:00:00Z,34.173759999999994,-91.07266,,,,,,,,,,,,,,
Arkansas,1990-06-17T12:00:00Z,33.387,-94.036,94.75,85.66,76.57,73.05,0.68,0.26,0.82,,,,11.0,8.084,201.0,7.46
Arizona,2000-10-10T12:00:00Z,31.990029999999997,-110.1835,69.78,,,54.94,0.78,0.9,0.41,,,1012.97,4.0,9.5,131.0,7.05
Arizona,2000-12-24T12:00:00Z,34.90831,-110.8403,56.54,43.59,30.64,13.22,0.46,0.0,0.97,0.0,0.0,1018.93,3.0,10.0,174.0,2.25
Arizona,2001-06-17T12:00:00Z,36.09081,-109.4276,,,,,,,,,,,,,,
Arizona,1983-12-30T12:00:00Z,34.4,-111.5,,,,,,,,,,,,,,
Arizona,1993-09-04T12:00:00Z,33.6247,-109.3191,,,,,,,,,,,,,,
Arizona,1981-11-07T12:00:00Z,36.54165,-109.29,,,,,,,,,,,,,,
Arizona,1990-07-01T12:00:00Z,35.656,-111.93799999999999,,,,,,,,,,,,,,
Arizona,2006-10-26T12:00:00Z,34.325,-109.64,45.21,37.175,29.14,25.91,0.64,0.1,0.15,0.0,0.0,1021.17,5.0,10.0,350.0,3.89
Arizona,2007-01-22T12:00:00Z,32.815,-109.675,44.12,35.855,27.59,30.09,0.84,0.99,0.13,0.0028,1.0,1019.08,3.0,1.1,3.0,0.38
Arizona,2007-02-01T12:00:00Z,34.6,-109.44,34.33,23.535,12.74,25.06,0.75,0.93,0.49,0.0031,1.0,1007.24,3.0,6.9,287.0,8.78
Arizona,1995-07-15T12:00:00Z,33.85,-111.69,94.79,,,59.86,0.4,0.93,0.62,,,,6.0,10.0,302.0,1.13
Arizona,2006-10-15T12:00:00Z,33.99989,-110.4298,53.72,46.505,39.29,39.28,0.72,0.8,0.8,0.0004,0.38,,4.0,9.58,345.0,0.78
Arizona,2008-07-29T12:00:00Z,33.3785,-112.6432,106.51,93.7,80.89,40.01,0.16,0.03,0.9,0.0,0.0,1008.43,11.0,10.0,233.0,2.11
Arizona,2006-11-17T12:00:00Z,34.289390000000004,-111.1367,70.22,59.27,48.32,8.26,0.15,,0.9,0.0,0.0,,0.0,,184.0,0.46
Arizona,1973-12-20T12:00:00Z,35.241,-111.8634,45.34,28.425,11.51,11.5,0.54,0.07,0.88,0.0,0.0,1028.06,3.0,10.0,43.0,4.76
Arizona,2010-03-24T12:00:00Z,34.1,-110.165,51.65,40.18,28.71,16.82,0.42,0.0,0.3,0.0,0.0,,9.0,8.87,340.0,4.3
Arizona,1981-08-15T12:00:00Z,34.55154,-112.5421,79.57,65.54,51.51,54.07,0.72,0.28,0.51,,,1017.67,9.0,10.0,230.0,4.11
Arizona,2011-05-31T12:00:00Z,34.0,-110.0,79.31,66.72,54.13,17.34,0.22,0.0,0.96,0.0,0.0,,12.0,9.91,176.0,4.71
Arizona,1992-08-15T12:00:00Z,32.95,-112.73,,,,,,,,,,,,,,
Arizona,2014-04-22T12:00:00Z,34.285,-110.11,73.68,60.38,47.08,27.55,0.32,0.04,0.77,0.0,0.0,,11.0,10.0,195.0,9.09
Arizona,2021-06-10T12:00:00Z,35.175,-109.25,92.47,70.775,49.08,6.25,0.08,0.19,0.02,0.0006,0.02,1012.4,12.0,10.0,233.0,10.79
California,1988-10-01T12:00:00Z,37.35944,-119.6436,,,,,,,,,,,,,,
California,2000-06-15T12:00:00Z,38.93333,-119.9833,87.97,64.875,41.78,45.01,0.56,0.0,0.46,,,,12.0,10.0,1.0,2.58
California,2000-09-23T12:00:00Z,38.9575,-120.0914,64.52,44.145,23.77,31.37,0.64,0.33,0.85,,,,7.0,8.25,328.0,1.63
California,1957-06-01T12:00:00Z,40.80222,-124.1625,62.72,55.155,47.59,50.53,0.86,0.18,0.12,,,1019.23,10.0,6.86,307.0,2.15
California,1997-11-15T12:00:00Z,38.28085,-119.836,,,,,,,,,,,,,,
California,1968-11-01T12:00:00Z,40.33556,-121.9139,,,,43.25,0.92,0.75,0.39,,,1020.74,2.0,8.88,343.0,2.21
California,1997-12-18T12:00:00Z,37.23389,-119.2119,,,,,,,,,,,,,,
California,1994-06-01T12:00:00Z,38.17677,-119.9065,,,,,,,,,,,,,,
California,1974-06-01T12:00:00Z,41.41,-120.6781,84.96,70.465,55.97,37.71,0.29,,0.4,,,,8.0,,316.0,4.15
California,2000-07-01T12:00:00Z,38.93,-120.205,69.21,51.32,33.43,30.57,0.54,0.0,0.0,,,,12.0,10.0,206.0,5.22
California,1996-04-10T12:00:00Z,38.93333,-119.9833,52.04,37.985,23.93,28.88,0.73,0.4,0.74,,,,8.0,9.5,230.0,4.53
California,1993-04-01T12:00:00Z,38.86,-120.1358,34.7,,,24.1,0.77,0.34,0.32,,,,8.0,10.0,202.0,11.32
California,1995-10-29T12:00:00Z,37.35861,-118.9975,61.12,,,27.45,0.33,0.64,0.21,,,,4.0,10.0,94.0,5.64
California,1978-08-01T12:00:00Z,38.06615,-120.1877,,,,,,,,,,,,,,
California,1955-08-01T12:00:00Z,36.10222,-118.8489,,,,,,,,,,,,,,
California,1978-07-30T12:00:00Z,38.19753,-119.9811,,,,,,,,,,,,,,
California,1999-03-04T12:00:00Z,41.45833,-122.4306,40.3,32.44,24.58,21.61,0.63,0.63,0.58,0.0,0.0,1021.3,4.0,9.87,350.0,4.44
California,1966-09-01T12:00:00Z,41.428059999999995,-122.3839,,,,,,,,,,,,,,
California,1977-07-01T12:00:00Z,38.04806,-119.2642,,,,,,,,,,,,,,
California,1978-10-01T12:00:00Z,40.63556,-122.7325,79.0,,,50.13,0.5,0.22,0.98,,,,5.0,10.0,336.0,14.43
California,1983-10-25T12:00:00Z,38.03898,-120.2339,,,,,,,,,,,,,,
California,1987-05-31T12:00:00Z,36.05278,-118.1303,,,,,,,,,,,,,,
California,1993-06-15T12:00:00Z,38.26661,-119.8633,,,,,,,,,,,,,,
California,1944-08-01T12:00:00Z,41.82417,-122.9958,,,,,,,,,,,,,,
California,2000-07-20T12:00:00Z,41.3657,-123.1317,,,,,,,,,,,,,,
California,1991-01-01T12:00:00Z,38.255829999999996,-122.5833,56.87,,,24.44,0.53,0.6,0.54,,,,2.0,9.04,103.0,6.56
California,1978-06-01T12:00:00Z,39.21278,-120.8908,73.41,65.43,57.45,34.67,0.34,0.07,0.87,,,1005.96,9.0,8.05,220.0,1.29
California,1998-08-01T12:00:00Z,37.91111,-119.2569,71.16,,,34.03,0.39,0.0,0.29,,,,12.0,10.0,120.0,2.72
California,1993-07-04T12:00:00Z,33.2675,-116.8625,66.64,61.9,57.16,52.02,0.74,0.68,0.53,,,1009.12,10.0,9.83,197.0,4.29
California,2001-06-15T12:00:00Z,41.213609999999996,-122.2703,85.07,67.065,49.06,45.26,0.44,0.01,0.8,0.0,0.0,1017.13,11.0,10.0,19.0,0.99
California,1956-10-01T12:00:00Z,39.3225,-120.2653,70.69,58.1,45.51,34.77,0.48,0.07,0.91,0.0,0.0,1014.16,6.0,10.0,228.0,2.36
California,1994-09-15T12:00:00Z,40.929109999999994,-121.6156,,,,,,,,,,,,,,
California,1987-06-01T12:00:00Z,39.68833,-123.4817,,,,,,,,,,,,,,
California,2003-07-20T12:00:00Z,38.85556,-120.0133,83.43,70.63,57.83,50.54,0.51,0.08,0.73,0.0043,0.54,1019.88,11.0,10.0,224.0,0.33
California,1983-01-01T12:00:00Z,38.93333,-119.9833,42.12,,,20.64,0.8,0.21,0.59,,,,2.0,10.0,4.0,1.22
California,1963-08-01T12:00:00Z,40.26639,-123.8692,,,,,,,,,,,,,,
California,1965-07-01T12:00:00Z,40.26639,-123.8692,,,,,,,,,,,,,,
California,1993-04-01T12:00:00Z,36.2485,-121.495,54.32,46.46,38.6,45.6,0.92,0.53,0.32,,,1018.29,7.0,9.25,301.0,6.27
California,1977-08-01T12:00:00Z,40.8875,-122.3775,105.06,89.22,73.38,44.44,0.26,0.64,0.58,,,1015.58,5.0,8.67,152.0,1.0
California,1973-10-15T12:00:00Z,39.92778,-122.1781,82.78,67.775,52.77,50.16,0.6,0.33,0.63,0.0,0.0,1016.48,5.0,10.0,326.0,2.67
California,2004-01-04T12:00:00Z,39.26361,-121.0161,41.99,35.54,29.09,24.96,0.77,0.05,0.41,0.0002,0.13,1027.33,2.0,10.0,31.0,0.23
California,1974-09-01T12:00:00Z,39.68833,-123.4817,,,,,,,,,,,,,,
California,1966-09-01T12:00:00Z,39.22361,-123.7675,,,,,,,,,,,,,,
California,1972-09-15T12:00:00Z,37.5703,-118.97200000000001,,,,,,,,,,,,,,
California,2003-09-01T12:00:00Z,38.72139,-120.5836,92.39,77.83,63.27,41.29,0.3,,0.18,0.0,0.0,,0.0,,106.0,0.08
